symbol,name,price,change_price,change_percent,market_price
NAKA-USD,Nakamoto Games USD,1.9395,0.0870,4.70%,175.452M
ARK-USD,Ark USD,0.969981,0.005123,0.53%,174.607M
BONE11865-USD,Bone ShibaSwap USD,0.751079,0.016976,2.31%,172.691M
ZBC-USD,Zebec USD,0.033667,-0.000005,-0.02%,171.31M
MOVR-USD,Moonriver USD,19.20,0.65,3.51%,171.269M
NYM-USD,NYM USD,0.238020,0.005651,2.43%,170.188M
USDJ-USD,USDJ USD,1.1056,-0.0167,-1.48%,170.129M
METFI-USD,MetFi USD,1.4319,0.0486,3.51%,168.418M
MVL-USD,MVL USD,0.006776,0.000259,3.97%,167.039M
MAV-USD,Maverick Protocol USD,0.666079,0.032996,5.21%,166.52M
NKN-USD,NKN USD,0.217849,0.036986,20.45%,164.439M
TRIBE-USD,Tribe USD,0.307197,-0.006095,-1.95%,164.608M
REQ-USD,Request USD,0.164414,0.007071,4.49%,164.357M
HFT22461-USD,Hashflow USD,0.426504,0.023709,5.89%,163.876M
LADYS-USD,Milady Meme Coin USD,0.00000022,0.00000002,12.31%,162.8M
MYRIA22289-USD,Myria USD,0.009265,0.000276,3.07%,161.484M
TOKEN28299-USD,TokenFi USD,0.159784,0.006533,4.26%,159.787M
SURE-USD,inSure DeFi USD,0.005957,0.000560,10.37%,159.598M
SCRT-USD,Secret USD,0.587864,0.032405,5.83%,159.52M
STG18934-USD,Stargate Finance USD,0.780129,0.037495,5.05%,159.41M
HIGH-USD,Highstreet USD,3.1097,0.2066,7.12%,156.621M
MAVIA-USD,Heroes of Mavia USD,5.2200,0.1512,2.98%,156.602M
DIONE-USD,Dione Protocol USD,0.016426,0.002606,18.85%,156.225M
XYM-USD,Symbol USD,0.026421,0.000180,0.69%,155.409M
AUCTION-USD,Bounce Token USD,23.88,1.07,4.69%,155.193M
LQTY-USD,Liquity USD,1.6225,0.1113,7.37%,155.019M
GHST-USD,Aavegotchi USD,2.9365,-0.0748,-2.48%,154.895M
RDNT-USD,Radiant Capital USD,0.320056,0.006668,2.13%,154.195M
MUBI-USD,Multibit USD,0.161861,0.025921,19.07%,153.768M
SUN-USD,Sun (New) USD,0.015474,0.000320,2.11%,153.328M
STEEM-USD,Steem USD,0.333269,0.003955,1.20%,153.07M
ALPHA-USD,Stella USD,0.175790,0.013454,8.29%,152.938M
ACA-USD,Acala Token USD,0.157620,0.005868,3.87%,151.709M
ELON-USD,Dogelon Mars USD,0.00000027,0.00000001,3.51%,150.95M
LOOKS-USD,LooksRare USD,0.150702,-0.001005,-0.66%,150.694M
MWC-USD,MimbleWimbleCoin USD,13.73,1.04,8.15%,150.373M
DODO-USD,DODO USD,0.244246,0.019571,8.71%,150.118M
ONG3217-USD,Ontology Gas USD,0.393815,0.011368,2.97%,147.892M
USDP-USD,Pax Dollar USD,0.999588,-0.000061,-0.01%,147.674M
XVG-USD,Verge USD,0.008870,0.000315,3.68%,146.556M
